DEPT,TWT,amp,AI_Log,Int,D2,Quadr,TraceGrad,GradMag,Freq,Phase,CosPhase,AI_Jason_inv
1613.1,1174.9,231.7,8463,1.54,-159.6,-1064.3,2.3,1345.4,36.1,-83.3984,0.0975,
1613.2,1175,254.5,8293,1.53,-162.2,-1059,-1.9,1350.3,36,-82.2346,0.1158,
1613.4,1175.1,272.8,8153,1.53,-161.4,-1048.8,-5.1,1347.4,35.9,-81.1044,0.1325,
1613.5,1175.1,288.1,8049,1.52,-158.7,-1035.6,-7.7,1339.7,35.9,-79.995,0.1481,
1613.7,1175.2,303.4,7979,1.52,-155.9,-1022.3,-10.4,1331.9,35.9,-78.8858,0.1638,
1613.8,1175.3,318.7,7948,1.51,-153.1,-1009.1,-13,1324.2,35.9,-77.7771,0.1794,
1614,1175.4,334,7969,1.5,-150.3,-995.8,-15.7,1316.4,35.8,-76.6686,0.195,
1614.1,1175.5,349.3,8035,1.5,-147.5,-982.6,-18.3,1308.6,35.8,-75.5604,0.2106,
1614.3,1175.6,364.6,8095,1.49,-144.7,-969.3,-20.9,1300.9,35.8,-74.4521,0.2262,
1614.4,1175.7,379.9,8086,1.48,-141.9,-956,-23.6,1293.1,35.8,-73.3436,0.2418,
1614.6,1175.8,395.2,8051,1.47,-139.1,-942.7,-26.2,1285.3,35.7,-72.2348,0.2574,
1614.7,1175.9,410.5,8059,1.47,-136.3,-929.5,-28.9,1277.6,35.7,-71.1261,0.273,
1614.9,1176,425.8,8169,1.46,-133.4,-916.2,-31.5,1269.8,35.7,-70.0177,0.2886,
1615,1176.1,441.1,8290,1.45,-130.6,-902.9,-34.2,1262,35.6,-68.9093,0.3042,
1615.2,1176.2,456.3,8353,1.45,-127.8,-889.5,-36.8,1254.2,35.6,-67.8011,0.3198,
1615.3,1176.3,471.6,8368,1.44,-125,-876.3,-39.5,1246.4,35.6,-66.693,0.3354,
1615.5,1176.4,486.9,8372,1.43,-122.2,-863,-42.1,1238.7,35.6,-65.5852,0.351,
1615.6,1176.4,502.2,8384,1.43,-119.3,-849.6,-44.8,1230.9,35.5,-64.4772,0.3666,
1615.8,1176.5,517.4,8363,1.42,-116.5,-836.3,-47.4,1223.1,35.5,-63.3692,0.3822,
1615.9,1176.6,532.7,8332,1.41,-113.7,-823,-50.1,1215.3,35.5,-62.2613,0.3978,
1616.1,1176.7,548,8327,1.41,-110.8,-809.7,-52.7,1207.5,35.5,-61.1532,0.4134,
1616.3,1176.8,563.3,8341,1.4,-108,-796.4,-55.4,1199.8,35.4,-60.0448,0.429,
1616.4,1176.9,578.5,8359,1.39,-105.2,-783,-58,1192,35.4,-58.9361,0.4446,
1616.6,1177,593.1,8364,1.39,-102.3,-769.7,-60.7,1184.2,35.4,-57.8272,0.4601,
1616.7,1177.1,604.4,8312,1.38,-99.6,-756.2,-54.8,1171.8,35.4,-56.8443,0.4706,
1616.9,1177.2,615,8229,1.38,-96.9,-742.7,-48.9,1159.3,35.5,-55.8625,0.4809,
1617,1177.3,625.5,8132,1.37,-94.1,-729.2,-43,1146.8,35.5,-54.8812,0.4913,
1617.2,1177.4,636.1,8038,1.37,-91.4,-715.7,-37.1,1134.4,35.5,-53.9002,0.5017,
1617.3,1177.5,646.6,7947,1.36,-88.7,-702.3,-31.1,1121.9,35.6,-52.9194,0.512,
1617.5,1177.6,657.2,7865,1.36,-85.9,-688.8,-25.2,1109.4,35.6,-51.9384,0.5224,
1617.6,1177.6,667.7,7814,1.35,-83.2,-675.3,-19.3,1096.9,35.7,-50.957,0.5328,
1617.8,1177.7,678.2,7786,1.35,-80.5,-661.7,-13.3,1084.5,35.7,-49.9755,0.5431,
1617.9,1177.8,688.8,7789,1.34,-77.7,-648.2,-7.4,1072,35.7,-48.9939,0.5535,
1618.1,1177.9,699.3,7755,1.34,-75,-634.7,-1.5,1059.5,35.8,-48.0123,0.5638,
1618.2,1178,709.8,7690,1.33,-72.3,-621.2,4.4,1047,35.8,-47.0303,0.5742,
1618.4,1178.1,720.4,7602,1.33,-69.6,-607.7,10.4,1034.5,35.9,-46.0484,0.5845,
1618.5,1178.2,730.9,7524,1.32,-66.8,-594.1,16.3,1022.1,35.9,-45.0667,0.5949,
1618.7,1178.3,741.4,7454,1.32,-64.1,-580.6,22.2,1009.6,36,-44.0854,0.6052,
1618.8,1178.4,751.9,7385,1.31,-61.4,-567.1,28.1,997.1,36,-43.1044,0.6156,
1619,1178.5,762.4,7310,1.31,-58.6,-553.5,34,984.6,36,-42.1235,0.6259,
1619.1,1178.6,772.9,7243,1.3,-55.9,-540,40,972.1,36.1,-41.1422,0.6363,
1619.3,1178.7,783.4,7192,1.3,-53.2,-526.4,45.9,959.6,36.1,-40.1605,0.6466,
1619.5,1178.8,793.9,7149,1.29,-50.5,-512.9,51.8,947.1,36.2,-39.1784,0.6569,
1619.6,1178.8,804.4,7116,1.29,-47.7,-499.3,57.7,934.6,36.2,-38.1959,0.6673,
1619.8,1178.9,814.9,7094,1.28,-45,-485.7,63.6,922.1,36.2,-37.2134,0.6776,
1619.9,1179,824.7,7084,1.28,-46.6,-469.8,67.9,912.3,36.3,-36.107,0.6871,
1620.1,1179.1,833.2,7091,1.28,-55.6,-449.9,69.4,907.1,36.4,-34.7853,0.695,
1620.2,1179.2,841.7,7108,1.28,-64.6,-430,70.8,902,36.5,-33.4635,0.7029,
1620.4,1179.3,850.2,7118,1.28,-73.6,-410.1,72.2,896.8,36.6,-32.1412,0.7108,
1620.5,1179.4,858.7,7125,1.28,-82.6,-390.2,73.7,891.7,36.7,-30.8186,0.7188,
1620.7,1179.5,867.2,7140,1.28,-91.6,-370.2,75.1,886.6,36.8,-29.4963,0.7267,
1620.8,1179.6,875.7,7149,1.27,-100.6,-350.3,76.5,881.4,36.9,-28.1743,0.7346,
1621,1179.7,884.2,7147,1.27,-109.6,-330.4,77.9,876.3,37.1,-26.8526,0.7425,
1621.1,1179.8,892.6,7147,1.27,-118.6,-310.4,79.4,871.1,37.2,-25.5309,0.7504,
1621.3,1179.9,901.1,7146,1.27,-127.6,-290.5,80.8,866,37.3,-24.2091,0.7583,
1621.4,1180,909.5,7147,1.27,-136.6,-270.6,82.2,860.9,37.4,-22.8874,0.7662,
1621.6,1180.1,917.9,7190,1.27,-145.5,-250.6,83.6,855.7,37.5,-21.5659,0.7741,
1621.7,1180.1,926.4,7236,1.27,-154.5,-230.7,85.1,850.6,37.6,-20.2443,0.7819,
1621.9,1180.2,934.8,7282,1.27,-163.5,-210.8,86.5,845.4,37.7,-18.9228,0.7898,
1622,1180.3,943.3,7328,1.27,-172.4,-190.8,87.9,840.3,37.8,-17.6013,0.7977,
1622.2,1180.4,951.7,7361,1.27,-181.4,-170.9,89.3,835.2,37.9,-16.2799,0.8056,
1622.3,1180.5,960.1,7383,1.27,-190.4,-150.9,90.8,830.1,38,-14.9584,0.8134,
1622.5,1180.6,968.5,7387,1.27,-199.3,-131,92.2,824.9,38.1,-13.6372,0.8213,
1622.7,1180.7,976.9,7384,1.27,-208.3,-111,93.6,819.8,38.2,-12.3164,0.8292,
1622.8,1180.8,985.3,7379,1.27,-217.2,-91.1,95,814.7,38.3,-10.9954,0.837,
1623,1180.9,993.7,7373,1.27,-226.2,-71.1,96.4,809.5,38.4,-9.674,0.8449,
1623.1,1181,1001.8,7361,1.27,-235.1,-51.2,97.8,804.4,38.5,-8.3525,0.8527,
1623.3,1181.1,1002.4,7342,1.27,-237.6,-29.2,95.9,807.4,38.7,-7.0458,0.8538,
1623.4,1181.2,999.8,7308,1.28,-237.7,-6.4,92.7,813.2,38.8,-5.7442,0.8524,
1623.6,1181.3,997.2,7272,1.28,-237.8,16.3,89.5,819.1,38.9,-4.4423,0.851,
1623.7,1181.3,994.6,7234,1.28,-238,39.1,86.3,824.9,39,-3.1404,0.8496,
1623.9,1181.4,992,7203,1.29,-238.1,61.9,83.2,830.8,39.2,-1.8385,0.8483,
